time,S,Z,R,I
476,76,44,37,2
477,78,44,37,2
478,78,44,37,2
479,78,44,37,2
480,78,44,37,2
481,78,44,37,2
482,79,44,37,2
483,79,44,37,2
484,79,43,38,2
485,79,43,38,2
486,79,43,38,2
487,79,43,38,2
488,78,43,38,2
489,78,43,38,2
490,78,43,38,2
491,78,43,38,2
492,78,43,38,2
493,79,43,38,2
494,79,43,38,2
495,79,43,38,2
496,79,43,38,2
497,79,43,38,2
498,79,43,38,2
499,79,44,38,2
500,80,44,38,2
501,80,44,38,2
502,80,44,38,2
503,80,44,38,2
504,80,44,38,2
505,80,44,38,2
506,80,44,38,2
507,80,44,38,2
508,80,44,38,2
509,80,44,38,2
510,80,44,38,2
511,81,44,38,2
512,81,44,38,2
513,81,44,38,2
514,81,44,38,2
515,81,44,38,2
516,81,44,38,2
517,81,44,38,2
518,81,44,38,2
519,81,44,38,2
520,81,44,38,2
521,82,44,38,2
522,82,44,38,2
523,83,44,38,2
524,83,45,38,2
525,83,45,38,2
526,83,45,38,2
527,83,44,39,2
528,84,44,39,2
529,84,44,39,2
530,84,44,39,2
531,84,44,39,2
532,84,44,39,2
533,84,44,39,2
534,84,44,39,2
535,85,44,39,2
536,85,44,39,2
537,85,44,39,2
538,85,44,39,2
539,85,44,39,2
540,85,44,39,2
541,85,44,39,2
542,86,44,39,2
543,86,44,39,2
544,86,44,39,2
545,86,44,39,2
546,86,44,39,2
547,86,44,39,2
548,86,44,39,2
549,86,44,39,2
550,86,44,39,2
551,86,44,39,2
552,86,44,39,2
553,86,44,39,2
554,85,44,39,2
555,85,44,39,2
556,86,44,39,2
557,86,44,39,2
558,86,44,39,2
559,86,44,39,2
560,86,44,39,2
561,86,44,39,2
562,86,44,39,2
563,86,44,39,2
564,86,44,39,2
565,86,44,39,2
566,87,44,39,2
567,86,44,39,2
568,86,44,39,2
569,86,44,39,2
570,86,44,39,2
571,86,44,39,2
572,86,44,39,2
573,86,44,39,2
574,88,44,39,2
575,89,44,39,2
576,89,44,39,2
577,89,44,39,2
578,89,44,39,2
579,89,44,39,2
580,89,44,39,2
581,89,44,39,2
582,89,44,39,2
583,89,44,39,2
584,89,45,39,2
585,89,45,39,2
586,89,45,39,2
587,89,45,39,2
588,89,45,39,2
589,89,45,39,2
590,89,45,39,2
591,89,45,39,2
592,89,45,39,2
593,90,45,39,2
594,90,45,39,2
595,90,45,39,2
596,90,46,39,2
597,90,45,40,2
598,90,45,40,2
599,90,45,40,2
600,89,45,40,2
601,90,45,40,2
602,90,45,40,2
603,90,44,41,2
604,90,44,41,2
605,91,44,41,2
606,91,44,41,2
607,91,44,41,2
608,91,44,41,2
609,90,44,41,2
610,90,44,41,2
611,88,44,41,2
612,88,44,41,2
613,89,44,41,2
614,89,44,41,2
615,89,44,41,2
616,90,43,42,2
617,89,43,42,2
618,89,43,42,2
619,89,43,42,2
620,89,43,42,2
621,89,43,42,2
622,90,43,42,2
623,90,43,42,2
624,91,43,42,2
625,91,43,42,2
626,91,43,42,2
627,91,43,42,2
628,90,43,42,2
629,89,43,42,2
630,89,43,42,2
631,89,43,42,2
632,89,43,42,2
633,89,43,42,2
634,89,43,42,2
635,89,44,42,2
636,89,44,42,2
637,90,45,42,2
638,90,45,42,2
639,90,45,42,2
640,90,45,42,2
641,90,45,42,2
642,90,46,42,2
643,91,46,42,2
644,90,47,42,2
645,89,47,42,2
646,89,47,42,2
647,89,47,42,2
648,89,47,42,2
649,89,47,42,2
650,89,47,42,2
651,89,47,42,2
652,89,47,42,2
653,89,47,42,2
654,89,47,42,2
655,89,49,42,2
656,89,49,42,2
657,89,49,42,2
658,89,49,42,2
659,89,49,42,2
660,89,49,42,2
661,89,49,42,2
662,89,49,42,2
663,89,49,42,2
664,89,49,42,2
665,90,49,42,2
666,90,49,42,2
667,90,49,42,2
668,90,49,42,2
669,90,49,42,2
670,90,49,42,2
671,90,49,42,2
672,92,49,42,2
673,92,49,42,2
674,92,50,42,2
675,93,51,42,2
676,93,51,42,2
677,93,51,42,2
678,93,51,42,2
679,93,51,42,2
680,93,51,42,2
681,93,51,42,2
682,93,51,42,2
683,93,51,42,2
684,93,51,42,2
685,93,51,42,2
686,93,51,42,2
687,93,51,42,2
688,93,51,42,2
689,94,51,42,2
690,94,51,42,2
691,94,51,42,2
692,94,51,42,2
693,94,51,42,2
694,96,51,42,2
695,96,51,42,2
696,96,51,42,2
697,96,51,42,2
698,97,51,42,2
699,97,51,42,2
700,97,51,42,2
701,97,51,42,2
702,97,51,42,2
703,97,51,42,2
704,97,51,42,2
705,97,51,42,2
706,97,51,42,2
707,97,51,42,2
708,97,51,42,2
709,97,51,42,2
710,98,51,42,2
711,98,51,42,2
712,98,51,42,2
713,98,51,42,2
714,99,51,42,2
715,99,51,42,2
716,99,51,42,2
717,99,51,42,2
718,99,51,42,2
719,100,51,42,2
720,100,51,42,2
721,100,51,42,2
722,100,51,42,2
723,100,51,42,2
724,100,51,42,2
725,100,51,42,2
726,100,51,42,2
727,101,51,42,2
728,101,51,42,2
729,102,51,42,2
730,102,51,42,2
731,103,51,42,2
732,103,51,42,2
733,103,51,42,2
734,103,51,42,2
735,103,51,42,2
736,103,51,42,2
737,103,51,42,2
738,103,51,42,2
739,104,51,42,2
740,104,51,42,2
741,104,51,42,2
742,104,51,42,2
743,104,51,42,2
744,104,51,42,2
745,104,51,42,2
746,104,51,42,2
747,104,51,42,2
748,104,51,42,2
749,104,51,42,2
750,104,51,42,2
751,104,51,42,2
752,105,51,42,2
753,105,51,42,2
754,105,51,42,2
755,106,51,42,2
756,106,51,42,2
757,106,51,42,2
758,106,51,42,2
759,106,51,42,2
760,106,51,42,2
761,106,51,42,2
762,106,51,42,2
763,107,51,42,2
764,107,51,42,2
765,107,51,42,2
766,107,51,42,2
767,107,51,42,2
768,107,51,42,2
769,107,51,42,2
770,107,51,42,2
771,107,51,42,2
772,107,51,42,2
773,107,51,42,2
774,107,51,42,2
775,108,51,42,2
776,108,51,42,2
777,108,51,42,2
778,108,51,42,2
779,108,51,42,2
780,108,51,42,2
781,108,51,42,2
782,108,51,42,2
783,108,51,42,2
784,108,51,42,2
785,108,51,42,2
786,108,51,42,2
787,108,51,42,2
788,108,51,42,2
789,108,51,42,2
790,108,51,42,2
791,108,51,42,2
792,108,51,42,2
793,108,51,42,2
794,108,51,42,2
795,108,51,42,2
796,108,51,42,2
797,108,51,42,2
798,108,51,42,2
